solvent,polymer,K_value,a_value,source_paper,table_name
tetrahydrofuran-d8,polystyrene,0.0141,0.7,2023 - The Universal Calibration for Structure- and Solvent-Independent Molar Mass Determinations of Polymers Using Diffusion-Ordered Spectroscopy,table1
chloroform-d,polystyrene,0.00732,0.74596,2023 - The Universal Calibration for Structure- and Solvent-Independent Molar Mass Determinations of Polymers Using Diffusion-Ordered Spectroscopy,table1
benzene-d6,polystyrene,0.01077,0.72682,2023 - The Universal Calibration for Structure- and Solvent-Independent Molar Mass Determinations of Polymers Using Diffusion-Ordered Spectroscopy,table1
toluene-d8,polystyrene,0.0098,0.73512,2023 - The Universal Calibration for Structure- and Solvent-Independent Molar Mass Determinations of Polymers Using Diffusion-Ordered Spectroscopy,table1
dichloromethane,polystyrene,0.01155,0.70628,2023 - The Universal Calibration for Structure- and Solvent-Independent Molar Mass Determinations of Polymers Using Diffusion-Ordered Spectroscopy,table1
acetone,polystyrene,0.07135,0.49819,2023 - The Universal Calibration for Structure- and Solvent-Independent Molar Mass Determinations of Polymers Using Diffusion-Ordered Spectroscopy,table1
methanol-d4,polyethylene oxide,0.03563,0.65424,2023 - The Universal Calibration for Structure- and Solvent-Independent Molar Mass Determinations of Polymers Using Diffusion-Ordered Spectroscopy,table1
deuterium oxide,polyethylene oxide,0.02554,0.67839,2023 - The Universal Calibration for Structure- and Solvent-Independent Molar Mass Determinations of Polymers Using Diffusion-Ordered Spectroscopy,table1
tetrahydrofuran-d8,polyethylene oxide,0.02417,0.6831,2023 - The Universal Calibration for Structure- and Solvent-Independent Molar Mass Determinations of Polymers Using Diffusion-Ordered Spectroscopy,table1
acetonitrile-d3,polyethylene oxide,0.02456,0.68948,2023 - The Universal Calibration for Structure- and Solvent-Independent Molar Mass Determinations of Polymers Using Diffusion-Ordered Spectroscopy,table1
acetone,polyethylene oxide,0.06862,0.56535,2023 - The Universal Calibration for Structure- and Solvent-Independent Molar Mass Determinations of Polymers Using Diffusion-Ordered Spectroscopy,table1
tetrahydrofuran-d8,poly(methyl methacrylate),0.01061,0.69474,2023 - The Universal Calibration for Structure- and Solvent-Independent Molar Mass Determinations of Polymers Using Diffusion-Ordered Spectroscopy,table1
chloroform-d,poly(methyl methacrylate),0.00517,0.77158,2023 - The Universal Calibration for Structure- and Solvent-Independent Molar Mass Determinations of Polymers Using Diffusion-Ordered Spectroscopy,table1
benzene-d6,poly(methyl methacrylate),0.00848,0.7331,2023 - The Universal Calibration for Structure- and Solvent-Independent Molar Mass Determinations of Polymers Using Diffusion-Ordered Spectroscopy,table1
dichloromethane,poly(methyl methacrylate),0.00702,0.75226,2023 - The Universal Calibration for Structure- and Solvent-Independent Molar Mass Determinations of Polymers Using Diffusion-Ordered Spectroscopy,table1
dimethyl sulfoxide,poly(methyl methacrylate),0.05265,0.47463,2023 - The Universal Calibration for Structure- and Solvent-Independent Molar Mass Determinations of Polymers Using Diffusion-Ordered Spectroscopy,table1
benzene,polystyrene,0.01077,0.727,2023 - The Universal Calibration for Structure- and Solvent-Independent Molar Mass Determinations of Polymers Using Diffusion-Ordered Spectroscopy - SI,table3
chloroform,polystyrene,0.00732,0.746,2023 - The Universal Calibration for Structure- and Solvent-Independent Molar Mass Determinations of Polymers Using Diffusion-Ordered Spectroscopy - SI,table3
toluene,polystyrene,0.0098,0.735,2023 - The Universal Calibration for Structure- and Solvent-Independent Molar Mass Determinations of Polymers Using Diffusion-Ordered Spectroscopy - SI,table3
tetrahydrofuran,polystyrene,0.0141,0.7,2023 - The Universal Calibration for Structure- and Solvent-Independent Molar Mass Determinations of Polymers Using Diffusion-Ordered Spectroscopy - SI,table3
water,polyethylene oxide,0.02554,0.678,2023 - The Universal Calibration for Structure- and Solvent-Independent Molar Mass Determinations of Polymers Using Diffusion-Ordered Spectroscopy - SI,table3
acetone,polyethylene oxide,0.06862,0.565,2023 - The Universal Calibration for Structure- and Solvent-Independent Molar Mass Determinations of Polymers Using Diffusion-Ordered Spectroscopy - SI,table3
benzene,poly(methyl methacrylate),0.00848,0.733,2023 - The Universal Calibration for Structure- and Solvent-Independent Molar Mass Determinations of Polymers Using Diffusion-Ordered Spectroscopy - SI,table4
chloroform,poly(methyl methacrylate),0.00517,0.771,2023 - The Universal Calibration for Structure- and Solvent-Independent Molar Mass Determinations of Polymers Using Diffusion-Ordered Spectroscopy - SI,table4
tetrahydrofuran,poly(methyl methacrylate),0.01061,0.695,2023 - The Universal Calibration for Structure- and Solvent-Independent Molar Mass Determinations of Polymers Using Diffusion-Ordered Spectroscopy - SI,table4
tetrahydrofuran,poly(lactic acid),0.000221,0.77,2024 - MaDDOSY (Mass Determination Diffusion Ordered Spectroscopy) using a 80 MHz Bench Top NMR for the Rapid Determination of Polymer and Macromolecular Molecular Weight - SI,table2
tetrahydrofuran-d8,polystyrene,0.0141,0.7,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy,table2
benzene-d6,polystyrene,0.013427,0.70012,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy,table2
chloroform-d,polystyrene,0.013156,0.70599,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy,table2
dichloromethane,polystyrene,0.013431,0.70367,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy,table2
toluene-d8,polystyrene,0.024735,0.61201,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy,table2
acetone,polystyrene,0.17932,0.37508,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy,table2
tetrahydrofuran-d8,poly(methyl methacrylate),0.0090994,0.706,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy,table2
benzene-d6,poly(methyl methacrylate),0.0085214,0.72619,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy,table2
chloroform-d,poly(methyl methacrylate),0.0062933,0.76996,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy,table2
dichloromethane,poly(methyl methacrylate),0.0058216,0.78089,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy,table2
dimethyl sulfoxide-d6,poly(methyl methacrylate),0.18104,0.35152,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy,table2
tetrahydrofuran-d8,polyisoprene,0.0044444,0.84314,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy,table2
benzene-d6,polyisoprene,0.0032451,0.86722,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy,table2
chloroform-d,polyisoprene,0.0027791,0.90044,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy,table2
dichloromethane,polyisoprene,0.011177,0.73833,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy,table2
tetrahydrofuran-d8,poly(2-vinylpyridine),0.075189,0.53351,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy,table2
benzene-d6,poly(2-vinylpyridine),0.11387,0.48529,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy,table2
dichloromethane,poly(2-vinylpyridine),0.043726,0.62069,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy,table2
methanol-d4,poly(2-vinylpyridine),0.1813,0.4555,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy,table2
tetrahydrofuran-d8,polyethylene oxide,0.01239,0.76068,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy,table2
acetone,polyethylene oxide,0.17246,0.44224,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy,table2
acetonitrile-d3,polyethylene oxide,0.0087817,0.8072,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy,table2
methanol-d4,polyethylene oxide,0.015555,0.72943,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy,table2
deuterium oxide,polyethylene oxide,0.018426,0.73577,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy,table2
benzene-d6,poly(methyl methacrylate),0.027883,0.59799,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy,table3
benzene-d6,poly(methyl methacrylate),0.023566,0.6087,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy,table3
benzene-d6,poly(methyl methacrylate),0.026273,0.59536,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy,table3
benzene-d6,poly(methyl methacrylate),0.021795,0.61545,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy,table3
benzene-d6,poly(methyl methacrylate),0.034996,0.56125,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy,table3
benzene-d6,poly(methyl methacrylate),0.03421,0.56265,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy,table3
deuterium oxide,polyethylene oxide,0.018434,0.73571,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy,table3
deuterium oxide,polyethylene oxide,0.021827,0.69844,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy,table3
deuterium oxide,polyethylene oxide,0.018352,0.70899,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy,table3
deuterium oxide,polyethylene oxide,0.018483,0.69122,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy,table3
deuterium oxide,polyethylene oxide,0.021185,0.67387,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy,table3
methanol,poly(N-isopropylacrylamide)-block-vanillin,0.16,0.16,"2024 - Photophysical, thermal and imaging studies on vancomycin functional branched poly(N-",table1
methanol,poly(N-isopropylacrylamide)-block-vanillin,0.18,0.18,"2024 - Photophysical, thermal and imaging studies on vancomycin functional branched poly(N-",table1
methanol,poly(N-isopropylacrylamide)-block-vanillin,0.25,0.25,"2024 - Photophysical, thermal and imaging studies on vancomycin functional branched poly(N-",table1
methanol,poly(N-isopropylacrylamide-co-Nile red),0.51,0.51,"2024 - Photophysical, thermal and imaging studies on vancomycin functional branched poly(N-",table1
tetrahydrofuran,polystyrene,0.0155,0.692,List of Mark-Houwink Parameters BOOK APPENDIX,table1
tetrahydrofuran,polystyrene,0.00682,0.766,List of Mark-Houwink Parameters BOOK APPENDIX,table1
tetrahydrofuran,polystyrene,0.0111,0.725,List of Mark-Houwink Parameters BOOK APPENDIX,table1
tetrahydrofuran,polystyrene,0.016,0.706,List of Mark-Houwink Parameters BOOK APPENDIX,table1
tetrahydrofuran,polystyrene,0.0117,0.725,List of Mark-Houwink Parameters BOOK APPENDIX,table1
tetrahydrofuran,polystyrene,0.0117,0.717,List of Mark-Houwink Parameters BOOK APPENDIX,table1
tetrahydrofuran,polystyrene,0.0125,0.707,List of Mark-Houwink Parameters BOOK APPENDIX,table1
tetrahydrofuran,polystyrene,0.0168,0.69,List of Mark-Houwink Parameters BOOK APPENDIX,table1
tetrahydrofuran,polystyrene,0.0141,0.7,List of Mark-Houwink Parameters BOOK APPENDIX,table1
tetrahydrofuran,polystyrene,0.0125,0.717,List of Mark-Houwink Parameters BOOK APPENDIX,table1
tetrahydrofuran,polystyrene,0.0142,0.7,List of Mark-Houwink Parameters BOOK APPENDIX,table1
tetrahydrofuran,polystyrene,0.0116,0.724,List of Mark-Houwink Parameters BOOK APPENDIX,table1
tetrahydrofuran,polystyrene,0.0128,0.7,List of Mark-Houwink Parameters BOOK APPENDIX,table1
tetrahydrofuran,polystyrene,0.00609,0.768,List of Mark-Houwink Parameters BOOK APPENDIX,table1
tetrahydrofuran,polystyrene,0.0176,0.679,List of Mark-Houwink Parameters BOOK APPENDIX,table1
tetrahydrofuran,polystyrene,0.0086,0.74,List of Mark-Houwink Parameters BOOK APPENDIX,table1
tetrahydrofuran,polystyrene,0.0105,0.731,List of Mark-Houwink Parameters BOOK APPENDIX,table1
tetrahydrofuran,polystyrene,0.0157,0.698,List of Mark-Houwink Parameters BOOK APPENDIX,table1
tetrahydrofuran,polystyrene,0.0105,0.731,List of Mark-Houwink Parameters BOOK APPENDIX,table1
tetrahydrofuran,polystyrene,0.0162,0.701,List of Mark-Houwink Parameters BOOK APPENDIX,table1
tetrahydrofuran,polystyrene,0.01112,0.723,List of Mark-Houwink Parameters BOOK APPENDIX,table1
tetrahydrofuran,polystyrene,0.0128,0.712,List of Mark-Houwink Parameters BOOK APPENDIX,table1
tetrahydrofuran,polystyrene,0.171,0.428,List of Mark-Houwink Parameters BOOK APPENDIX,table1
tetrahydrofuran,polystyrene,0.0125,0.717,List of Mark-Houwink Parameters BOOK APPENDIX,table1
tetrahydrofuran,polystyrene,0.01258,0.715,List of Mark-Houwink Parameters BOOK APPENDIX,table1
tetrahydrofuran,polystyrene,0.0158,0.704,List of Mark-Houwink Parameters BOOK APPENDIX,table1
tetrahydrofuran,polystyrene,0.016,0.703,List of Mark-Houwink Parameters BOOK APPENDIX,table1
tetrahydrofuran,polystyrene,0.01247,0.72,List of Mark-Houwink Parameters BOOK APPENDIX,table1
tetrahydrofuran,polystyrene,0.019,0.68,List of Mark-Houwink Parameters BOOK APPENDIX,table1
tetrahydrofuran,polystyrene,0.0131,0.719,List of Mark-Houwink Parameters BOOK APPENDIX,table1
tetrahydrofuran,polystyrene,0.0151,0.706,List of Mark-Houwink Parameters BOOK APPENDIX,table1
benzene,polystyrene,0.0113,0.73,List of Mark-Houwink Parameters BOOK APPENDIX,table1
benzene,polystyrene,0.01623,0.695,List of Mark-Houwink Parameters BOOK APPENDIX,table1
toluene,polystyrene,0.0105,0.73,List of Mark-Houwink Parameters BOOK APPENDIX,table1
toluene,polystyrene,0.00662,0.76,List of Mark-Houwink Parameters BOOK APPENDIX,table1
toluene,polystyrene,0.114,0.47,List of Mark-Houwink Parameters BOOK APPENDIX,table1
toluene,polystyrene,0.0106,0.728,List of Mark-Houwink Parameters BOOK APPENDIX,table1
chloroform,polystyrene,0.01786,0.68,List of Mark-Houwink Parameters BOOK APPENDIX,table2
chloroform,polystyrene,0.012,0.714,List of Mark-Houwink Parameters BOOK APPENDIX,table2
chloroform,polystyrene,0.0986,0.499,List of Mark-Houwink Parameters BOOK APPENDIX,table2
chloroform,polystyrene,0.0157,0.695,List of Mark-Houwink Parameters BOOK APPENDIX,table2
chloroform,polystyrene,0.00797,0.75,List of Mark-Houwink Parameters BOOK APPENDIX,table2
chloroform,polystyrene,0.01528,0.691,List of Mark-Houwink Parameters BOOK APPENDIX,table2
chloroform,polystyrene,0.00716,0.76,List of Mark-Houwink Parameters BOOK APPENDIX,table2
chloroform,polystyrene,0.0136,0.708,List of Mark-Houwink Parameters BOOK APPENDIX,table2
chloroform,polystyrene,0.111,0.502,List of Mark-Houwink Parameters BOOK APPENDIX,table2
chloroform,polystyrene,0.00049,0.796,List of Mark-Houwink Parameters BOOK APPENDIX,table2
"1,4-dioxane",polystyrene,0.02241,0.655,List of Mark-Houwink Parameters BOOK APPENDIX,table2
cyclohexane,polystyrene,0.083,0.5,List of Mark-Houwink Parameters BOOK APPENDIX,table2
cyclohexane,polystyrene,0.023,0.608,List of Mark-Houwink Parameters BOOK APPENDIX,table2
cyclohexane,polystyrene,0.0302,0.643,List of Mark-Houwink Parameters BOOK APPENDIX,table2
2-butanone,polystyrene,0.0179,0.642,List of Mark-Houwink Parameters BOOK APPENDIX,table2
"N,N-dimethylformamide",polystyrene,0.0204,0.63,List of Mark-Houwink Parameters BOOK APPENDIX,table2
"N,N-dimethylformamide",polystyrene,0.02606,0.612,List of Mark-Houwink Parameters BOOK APPENDIX,table2
"N,N-dimethylformamide",polystyrene,0.013,0.662,List of Mark-Houwink Parameters BOOK APPENDIX,table2
"N,N-dimethylformamide",polystyrene,0.028,0.606,List of Mark-Houwink Parameters BOOK APPENDIX,table2
"1,2,4-trichlorobenzene",polystyrene,0.0121,0.71,List of Mark-Houwink Parameters BOOK APPENDIX,table2
"1,2,4-trichlorobenzene",polystyrene,0.00895,0.727,List of Mark-Houwink Parameters BOOK APPENDIX,table2
"1,2,4-trichlorobenzene",polystyrene,0.0121,0.707,List of Mark-Houwink Parameters BOOK APPENDIX,table2
"1,2,4-trichlorobenzene",polystyrene,0.0172,0.67,List of Mark-Houwink Parameters BOOK APPENDIX,table2
"1,2,4-trichlorobenzene",polystyrene,0.019,0.655,List of Mark-Houwink Parameters BOOK APPENDIX,table2
"1,2,4-trichlorobenzene",polystyrene,0.0134,0.7,List of Mark-Houwink Parameters BOOK APPENDIX,table2
"1,2,4-trichlorobenzene",polystyrene,0.0414,0.61,List of Mark-Houwink Parameters BOOK APPENDIX,table2
"1,2,4-trichlorobenzene",polystyrene,0.0353,0.617,List of Mark-Houwink Parameters BOOK APPENDIX,table2
"1,2,4-trichlorobenzene",polystyrene,0.0175,0.67,List of Mark-Houwink Parameters BOOK APPENDIX,table2
"1,4-dichlorobenzene",polystyrene,0.01,0.73,List of Mark-Houwink Parameters BOOK APPENDIX,table2
"1,4-dichlorobenzene",polystyrene,0.01156,0.715,List of Mark-Houwink Parameters BOOK APPENDIX,table2
"1,4-dichlorobenzene",polystyrene,0.0138,0.7,List of Mark-Houwink Parameters BOOK APPENDIX,table2
"1,4-dichlorobenzene",polystyrene,0.0487,0.606,List of Mark-Houwink Parameters BOOK APPENDIX,table2
"1,4-dichlorobenzene",polystyrene,0.0151,0.693,List of Mark-Houwink Parameters BOOK APPENDIX,table2
"1,4-dichlorobenzene",polystyrene,0.0138,0.7,List of Mark-Houwink Parameters BOOK APPENDIX,table2
m-cresol,polystyrene,0.00846,0.715,List of Mark-Houwink Parameters BOOK APPENDIX,table2
m-cresol,polystyrene,0.0202,0.65,List of Mark-Houwink Parameters BOOK APPENDIX,table2
cis-decalin,polystyrene,0.04,0.574,List of Mark-Houwink Parameters BOOK APPENDIX,table2
hexafluoroisopropanol/toluene (2:8),polystyrene,0.01795,0.657,List of Mark-Houwink Parameters BOOK APPENDIX,table2
"phenol/1,2,4-trichlorobenzene (1:1)",polystyrene,0.01303,0.69,List of Mark-Houwink Parameters BOOK APPENDIX,table2
tetrahydrofuran,peroxymonosulfate,0.042,0.608,List of Mark-Houwink Parameters BOOK APPENDIX,table2
"1,2,4-trichlorobenzene",peroxymonosulfate,0.0161,0.672,List of Mark-Houwink Parameters BOOK APPENDIX,table2
tetrahydrofuran,poly(vinyl chloride),0.0163,0.766,List of Mark-Houwink Parameters BOOK APPENDIX,table3
tetrahydrofuran,poly(vinyl chloride),0.015,0.77,List of Mark-Houwink Parameters BOOK APPENDIX,table3
tetrahydrofuran,poly(vinyl chloride),0.072,0.61,List of Mark-Houwink Parameters BOOK APPENDIX,table3
tetrahydrofuran,poly(vinyl chloride),0.0448,0.7,List of Mark-Houwink Parameters BOOK APPENDIX,table3
tetrahydrofuran,poly(vinyl chloride),0.016,0.77,List of Mark-Houwink Parameters BOOK APPENDIX,table3
tetrahydrofuran,poly(vinyl chloride),0.0476,0.673,List of Mark-Houwink Parameters BOOK APPENDIX,table3
tetrahydrofuran,poly(vinyl chloride),0.016,0.77,List of Mark-Houwink Parameters BOOK APPENDIX,table3
tetrahydrofuran,poly(vinyl chloride),0.01556,0.69,List of Mark-Houwink Parameters BOOK APPENDIX,table3
tetrahydrofuran,poly(vinyl chloride),0.018,0.76,List of Mark-Houwink Parameters BOOK APPENDIX,table3
"1,2,4-trichlorobenzene",poly(vinyl chloride),0.0161,0.762,List of Mark-Houwink Parameters BOOK APPENDIX,table3
